ward,raw_slope,raw_p,share_slope,share_p,rel_slope,rel_p,events,ev_first4,ev_last4,co_first4,co_last4,rel_first4,rel_last4
Shankaramata,-0.0,0.5619014718352526,-0.0,0.5274713462931504,-0.006182362607453851,0.5858584459782121,4,1,0,269,569,0.6628351464735172,0.365603919696054
Shanthala Nagar,-0.0,0.8925359102370776,-0.0003871495719321803,0.1710247730357649,-0.025844842566623248,0.16497640636360544,32,3,5,572,1754,0.7307203965260121,0.4782510069341023
Shanthi Nagar,-0.0,0.9434394869504068,-0.0,0.6257530643945326,-0.004940708279508344,0.8226828854421667,16,4,5,320,709,1.3606231616046904,0.9579760813607465
Shettyhalli,-0.06458333333333333,0.4897385632216479,-0.0006357149682192983,0.10317236041322589,-0.03497559749337582,0.31889648047194963,60,16,16,756,1986,1.838017995317879,0.9968449130843183
Shiva Nagar,-0.0,0.8738446985173735,-0.0,1.0,-0.008376174683835298,0.5006096271664154,3,0,1,149,487,0.6256097762421773,0.5635761299381955
Shivaji Nagar,-0.0,0.8893096506864367,-0.00016534391534391533,0.21906440661100846,-0.016541156954747283,0.5858584459782121,19,3,4,124,371,1.8507248907472253,1.2886086212372054
Siddapura,-0.0,0.026997940837206955,-0.0,0.0351838756817656,-0.008685196919650329,0.5424221448910934,6,0,5,66,503,0.7933231770354341,1.2170800684885985
Singasandra,-0.10263157894736842,0.3408510854287973,-0.0005472574664248978,0.07402572925713644,-0.03155999325647954,0.18588304288709082,107,22,22,1352,2372,2.0227346726714828,1.2762027240091267
Someshwara,-0.0,0.9474841179849883,-0.0004845682313734037,0.07402572925713644,-0.028554405621656433,0.3513948581732795,113,21,31,1458,3183,1.6066926066468585,1.4563887787846077
Sri Nagar,-0.0,0.9309012350403777,-0.0,0.9309012350403777,-0.008809347762171117,0.0983302187347563,1,0,0,298,793,0.46120199459514727,0.2968892261391757
Sri Rammandira,-0.0,0.47044799993646313,-0.0,0.7401389820130002,0.0067123596936279045,0.5858584459782121,9,0,2,316,702,0.4417049427823968,0.5785585806396314
Subedarapalya,-0.0,0.05245229006343921,-0.0,0.13485826207013368,0.04164339095160545,0.033643947242160896,10,1,7,330,561,0.6587280044135374,1.6178475913687111
Subhash Nagar,-0.0,0.5005882138629408,-0.0,0.8782067804924052,0.003888886222056978,0.8226828854421667,7,1,2,61,127,1.1894160803788578,1.4505533639567059
Subramanya Nagar,-0.0,0.4289815297641253,-0.0,0.5274713462931504,0.004177238685692638,0.4605237944389165,4,0,2,257,455,0.4928735894845291,0.7455387616544993
Sudam Nagar,0.06458333333333333,0.05888123422751838,0.00015135798509900667,0.46841775775987393,0.04654504992133413,0.039762136700688226,23,3,9,208,586,1.145818640253343,1.8603288432277734
Sudduguntepalya,-0.0,0.7815112949987133,-0.0,0.35785658722009417,-0.018642732461380172,0.2598399893189163,7,2,2,223,766,1.0082726523841004,0.5641926235046495
Sunkenahalli,-0.0,0.10404277119880558,-0.0,0.18663923360468004,0.030416756698517323,0.1458442183647273,17,2,10,520,1110,0.5810712620364402,1.1907006221765766
T-Dasarahalli,-0.0,0.27985983329437514,-0.0,0.45402505928172043,-0.001043298581011242,0.9744669029388741,5,1,3,220,508,0.8036042751619712,1.1035705161145186
Thanisandra,-0.0,0.6934314722586745,-0.00019902376157645999,0.5006096271664154,0.016129972515501766,0.5424221448910934,128,24,29,2077,4253,1.301251903569616,1.0607530713661062
Ullalu,-0.0,0.4191960547392273,-0.00022676792663669902,0.07420042159575978,-0.009478653759800637,0.3513948581732795,40,5,13,1124,3716,0.581026579084964,0.581686199594305
Ulsoor,-0.0,0.344315625842209,-0.0,0.5721478401286835,0.0340018742350865,0.4605237944389165,27,2,8,281,539,0.8467818429593261,1.6704327757106052
Uttarahalli,-0.0,0.5495393997888708,-0.00014727000603273146,0.41705887982606993,-0.005031960278098598,0.8226828854421667,55,10,17,1651,3218,0.7445175479974834,0.8117292771945223
Vannarpet,-0.0,0.17135251100562,-0.0,0.46140035510785127,0.017194836231687174,0.31889648047194963,18,2,10,315,795,0.9698136807437379,1.4611136535279752
Varthur,0.09545454545454546,0.3203384817194722,-0.0004995344248995089,0.039762136700688226,-0.0002893520277838645,1.0,107,15,27,976,2453,1.7671537602687448,1.6930748948086913
Vasanth Nagar,-0.0,0.3709989952669325,-0.00019978362850916288,0.13306218742776546,-0.04282655255970862,0.20862839781386747,25,6,4,259,574,1.7954911786782326,0.9714952607914464
Vasanthapura,-0.0,0.8945874994078449,-0.0,0.7668843013869673,-0.00030324415207827406,0.9744669029388741,52,13,11,1714,2227,0.8021465820712705,0.7912180254312499
Vidyapeetha,-0.0,0.6760528085643454,-0.0,0.21052505852576486,-0.02147573478024016,0.2598399893189163,9,3,4,353,1178,1.0266125232344183,0.6867229109927668
Vidyaranyapura,-0.0,0.739161775643776,-0.0002220259552374145,0.213557728657769,-0.006694057036888812,0.5858584459782121,43,8,11,1474,2715,0.7355779119649191,0.5813694853982131
Vignana Nagar,-0.0,0.9736467408169589,-0.000346321806625504,0.29695502091420745,-0.004264054704123157,0.8226828854421667,51,6,10,834,1650,0.9252437748168116,0.8871334497436232
Vijanapura,-0.0,0.04394506519735923,-0.0,0.12484873531565419,0.037553077393823846,0.039762136700688226,19,0,8,562,822,0.32305426703907486,1.5405993186598264
Vijay Nagar,-0.0,0.09427921105665646,-0.0007664908526977492,0.02639449579546423,-0.052173023040327046,0.02832862734229191,14,4,1,240,821,1.4506574659633709,0.4285437569504261
Vishwanathnagenahalli,-0.0,0.8934184032378369,-0.0007207841872289354,0.015869463471595135,-0.04502096509453172,0.07402572925713644,42,7,8,425,1930,1.580905691579189,0.5991296156901585
Visvesvarapuram,-0.0,0.5897075677738349,-0.0,0.4435488805303247,-0.012057486053677693,0.2598399893189163,14,4,3,406,1101,1.0339107589450882,0.5393555951171771
Vrushabhavati Nagar,-0.0,0.01474056424743194,-0.0,0.0149600390805583,0.02129802778210607,0.07402572925713644,6,0,4,109,232,0.6922128993664178,1.6176647639082493
Yadiyuru,-0.0,0.6693866267853552,-0.0,0.9389247210248001,0.002320219762076741,0.8226828854421667,9,1,3,224,473,0.7319478384338207,0.9285783746122331
Yelachenahalli,-0.0,0.8346303679168444,-3.3079626850955745e-05,0.5755023453182715,-0.025650809255213153,0.31889648047194963,22,3,6,605,1663,0.7042775238538636,0.6980452378276518
Yelahanka old Satellite Town,-0.0,0.19934750902529008,0.00011913332432180788,0.23544264082452726,0.03783062996199335,0.1458442183647273,32,3,17,785,1135,0.7312304968055863,1.9533796079092935
Yeshwanthpur,-0.0,0.5619014718352526,-0.0,0.5984999065340422,-0.0026533130561681526,0.6307989462589767,4,1,2,170,416,0.8398663739446648,0.8654722260536662
